Organization/Person Name,Organization/Person Name URL,Website,Regions,Full Description,Industries,Industry Groups,Investment Stage,Investor Type,Number of Investments,Location,Contact Email,Phone Number,LinkedIn,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Claremont Creek Ventures,https://www.crunchbase.com/organization/claremont-creek-ventures,http://www.claremontcreek.com/,"San Francisco Bay Area, West Coast, Western US","Claremont Creek Ventures (CCV) is a seed and early stage venture firm. CCV invests in companies that serve essential, broad-impact industries with innovative digital solutions that increase efficiency or create entirely new high-growth, high-margin businesses. As part of CCV’s investment strategy, the firm practices “life cycle venturing”: establishing in-depth, active relationships with entrepreneurs alongside or even ahead of early-stage funding events. Claremont Creek Ventures has invested in over 40 companies including Clean Power Finance, EcoATM, and Natera and manages more than $300 million across two funds. Visit www.claremontcreek.com.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture, Seed",Venture Capital,79,"Oakland, California, United States",info@claremontcreek.com,(510) 740-5001,https://www.linkedin.com/company/62711?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A62711%2Cidx%3A1-1-1%2CtarId%3A1440031523568%2Ctas%3AClaremont%20Creek%20Ventures,,,,,,
Dolby Family Ventures,https://www.crunchbase.com/organization/dolby-family-ventures,http://dolbyventures.com,"San Francisco Bay Area, West Coast, Western US","Dolby Family Ventures is an early stage venture firm focused on building great technology companies. They partner with best-in-class innovators and strong investment syndicate partners at the seed stage of a company’s development. Unlike many seed investors, They intend to continue to invest across future rounds in our successful portfolio companies.","Angel Investment, Digital Media, Venture Capital","Financial Services, Lending and Investments, Media and Entertainment","Early Stage Venture, Seed",Venture Capital,79,"San Francisco, California, United States",info@dolbyventures.com,(415) 449-1005,,,,,,,
General Motors Ventures,https://www.crunchbase.com/organization/general-motors-ventures,http://www.gmventures.com,"Greater Detroit Area, Great Lakes, Midwestern US","GM Ventures is the corporate venture capital arm of General Motors. The firm's investment strategy includes growth-stage companies with focus on the areas of, advanced propulsion, connected vehicle , advanced materials, manufacturing technology, sensors, processors, & memory, and other automotive-related technologies. The firm was founded in 2010 and is based in Warren, Michigan.","Advanced Materials, Automotive, B2C, Sensor, Transportation, Venture Capital","Financial Services, Hardware, Lending and Investments, Manufacturing, Other, Science and Engineering, Transportation","Early Stage Venture, Late Stage Venture",Corporate Venture Capital,79,"Warren, Michigan, United States",,,,,,,,,
Blueprint Health,https://www.crunchbase.com/organization/blueprint-health-accelerator,http://www.blueprinthealth.org,"Greater New York Area, East Coast, Northeastern US","Blueprint Health is an NYC based accelerator program that supports entrepreneurs who are building innovative companies at the intersection of health and technology. Their program provides access to capital, clients, and most critically, the largest and most engaged healthcare-specific mentor community of any accelerator in the world.","Business Development, Fitness, Health Care, Wellness","Health Care, Professional Services, Sports",Seed,Accelerator,79,"New York, New York, United States",info@blueprinthealth.org,,http://www.linkedin.com/company/blueprint-health-llc,,,,,,
UpTech Accelerator,https://www.crunchbase.com/organization/uptech-fund,http://www.uptechideas.org/,Southern US,"UpTech is a nationally ranked tech accelerator program for data-driven startups that are developing tech-enabled solutions and seeking equity funding. UpTech selects up to 10 startups annually to go through the 6-month accelerator program driven by intensive entrepreneurship education, one-on-one mentoring, and extensive community involvement.","Analytics, B2B, EdTech, Finance, Health Care, Marketing, Supply Chain Management","Data and Analytics, Education, Financial Services, Health Care, Other, Sales and Marketing, Software, Transportation",Seed,Accelerator,79,"Covington, Kentucky, United States",support@uptechideas.org,,http://www.linkedin.com/company/2467625,,,,,,
Ascension Ventures,https://www.crunchbase.com/organization/ascension-ventures,http://ascensionventures.org/,Midwestern US,AHV was established in 2001 by Ascension Health with a commitment of $125 million to invest in expansion- to late-stage healthcare companies. Ascension Health is the nation's largest Catholic and largest nonprofit health system serving patients through a network of hospitals and health facilities in 20 states and the District of Columbia. AHV offers its limited partners the ability to earn venture-level financial returns while providing early insight to future healthcare developments.,"Financial Services, Health Care, Venture Capital","Financial Services, Health Care, Lending and Investments",,"Corporate Venture Capital, Venture Capital",79,"Clarkton, Missouri, United States",info@ascensionventures.org,(314) 733-8100,http://www.linkedin.com/company/ascension-media-group,,,,,,
Point72 Ventures,https://www.crunchbase.com/organization/point72-ventures,https://p72.vc/,"Greater New York Area, East Coast, Northeastern US","Point72 Ventures is a global venture capital firm led by a diverse set of domain experts with the capital to lead rounds through all stages of company growth. We invest primarily in Fintech, AI/ML, and Enterprise technologies. As an independent arm of Point72, the global asset management firm led by Steven Cohen, Point72 Ventures offers well-informed insights into the global economy. Point72 Ventures has offices in New York City, Palo Alto, San Francisco, and Stamford, Connecticut.","Artificial Intelligence, Financial Services, FinTech, Health Care","Artificial Intelligence, Data and Analytics, Financial Services, Health Care, Science and Engineering, Software","Early Stage Venture, Seed, Venture",Venture Capital,78,"New York, New York, United States",mark.herr@point72.com,,https://www.linkedin.com/company/point72-ventures/about/,,,,,,
Bezos Expeditions,https://www.crunchbase.com/organization/bezos-expeditions,http://www.bezosexpeditions.com,"Greater Seattle Area, West Coast, Western US",Bezos Expeditions manages Jeff Bezos' personal venture capital investments.,"Mobile, SaaS, Venture Capital","Financial Services, Lending and Investments, Mobile, Software","Early Stage Venture, Late Stage Venture, Seed",Family Investment Office,78,"Mercer Island, Washington, United States",info@bezosexpeditions.com,,https://www.linkedin.com/company-beta/6658162/?pathWildcard=6658162,,,,,,
Nyca Partners,https://www.crunchbase.com/organization/nycapartners,http://www.nycapartners.com/,"Greater New York Area, East Coast, Northeastern US","Nyca Partners is a venture capital and advisory firm that focuses on the fintech sector. The firm connects innovative companies to financial institutions and technology companies as well as expert individuals as investors and advisors. Nyca Partners was founded in 2014 and is headquartered in New York, United States.","Finance, FinTech, Venture Capital","Financial Services, Lending and Investments",Private Equity,Venture Capital,78,"New York, New York, United States",info@nycapartners.com,(212) 893-1168,https://www.linkedin.com/company/nyca-partners,,,,,,
Lead Edge Capital,https://www.crunchbase.com/organization/lead-edge-capital,http://www.leadedgecapital.com,"Greater New York Area, East Coast, Northeastern US","Lead Edge Capital is a growth equity firm with $2.0 billion of assets under management that invests in technology businesses globally. The Limited Partners of Lead Edge are current and former Fortune 500 senior-level executives, board members, successful entrepreneurs, and strategic advisors to large companies. Lead Edge leverages this network of LPs to help its portfolio companies succeed. This unique value proposition serves as the cornerstone of Lead Edge’s partnership philosophy, and has led to market leading returns and value creation over time.","Enterprise Software, Information Services, Internet","Information Technology, Internet Services, Software","Late Stage Venture, Private Equity",Venture Capital,78,"New York, New York, United States",,(212) 984-2421,http://www.linkedin.com/company/lead-edge-capital,,,,,,
